Ray 1, Branch 1 of 1:
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
   7 	   6 	   7 	   0 	   0 	   0 	 *--- 	----	 --	  -1.907528305E+01 	  3.271750488E+02 	 -6.228700562E+02 	  -3.330129385E-01 	 -9.094658494E-02 	 -9.385260344E-01 	                 -                 	-                 	- 	   6.536237772E+01	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Missed

Ray 5, Branch 1 of 1:
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
   0 	   0 	   0 	   0 	   0 	   0 	 ---- 	----	 --	  -9.899501801E+01 	  1.088939819E+02 	  2.500000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	                 -                 	-                 	- 	                -	                -	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Source 1: 
   1 	   0 	   1 	   0 	  12 	   0 	 --*- 	----	 --	  -9.899501801E+01 	  1.088939819E+02 	  0.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	  1.000000000E+00 	   2.500000000E+00	  -1.570796371E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 AoI test surface
   2 	   1 	   2 	   0 	  13 	   0 	 -*-- 	----	 --	  -9.899501801E+01 	  1.088939819E+02 	 -4.362043762E+02 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	  -2.742720246E-01 	 -2.789458930E-01 	 -9.203065038E-01 	   4.362043762E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 M1_1K_01um.step
   3 	   2 	   3 	   0 	  16 	   0 	 --*- 	----	 --	   2.155101013E+01 	  2.314942322E+02 	 -2.705040588E+02 	   5.048286319E-01 	  5.134314299E-01 	  6.939281225E-01 	   0.000000000E+00 	  9.897762537E-01 	  1.426289380E-01 	   2.387860160E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 CS Aperture
   4 	   3 	   4 	   0 	  14 	   0 	 -*-- 	----	 --	   1.521418152E+02 	  3.643104248E+02 	 -9.099636841E+01 	   5.048286319E-01 	  5.134314299E-01 	  6.939281225E-01 	  -4.202273190E-01 	 -3.002013862E-01 	 -8.563224077E-01 	   2.586834172E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 M2_1K_01um.step
   5 	   4 	   5 	   0 	  21 	   0 	 --*- 	----	 --	   2.395606613E+01 	  3.374989319E+02 	 -4.941106262E+02 	  -3.024295866E-01 	 -6.325656176E-02 	 -9.510704279E-01 	   7.688335776E-01 	  3.120211884E-02 	  6.386872530E-01 	   4.238532143E+02	  -1.501403153E-01	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Dichroic ZYZ RF
   6 	   5 	   6 	   0 	  23 	   0 	 --*- 	----	 --	   2.534119129E+00 	  3.330182800E+02 	 -5.614776611E+02 	  -3.024295866E-01 	 -6.325656176E-02 	 -9.510704279E-01 	   0.000000000E+00 	  4.293450117E-01 	  9.031405449E-01 	   7.083285570E+01	  -3.265174389E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 ONFP w/Y TRANS
   7 	   6 	   7 	   0 	   0 	   0 	 *--- 	----	 --	  -1.723338699E+01 	  3.288836975E+02 	 -6.236418457E+02 	  -3.024295866E-01 	 -6.325656176E-02 	 -9.510704279E-01 	                 -                 	-                 	- 	   6.536233559E+01	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Missed

Ray 6, Branch 1 of 1:
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
   0 	   0 	   0 	   0 	   0 	   0 	 ---- 	----	 --	  -8.909552765E+01 	  1.187934723E+02 	  2.500000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	                 -                 	-                 	- 	                -	                -	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Source 1: 
   1 	   0 	   1 	   0 	  12 	   0 	 --*- 	----	 --	  -8.909552765E+01 	  1.187934723E+02 	  0.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	  1.000000000E+00 	   2.500000000E+00	  -1.570796371E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 AoI test surface
